,Unnamed: 0,Unnamed: 0.1,NEWID,Total expenses,Entertainment,Total Transportation cost,Total Housing,Total Food,Income After Taxes,Luxury expenses,Necessities,50%,30%,Income minus total expenses,possible savings,20%,50%_delta,30%_delta,20%_delta
18,18,18,3566984,22798.337000000003,473.0,2856.0,8372.0,1590.0,169487.6,9507.337000000003,12818.0,0.30251180617343104,0.2243783498025815,19573.563000000002,6524.521,0.4619467854875519,-0.19748819382656896,-0.07562165019741848,0.2619467854875519
19,19,19,3567004,9291.55,333.0,750.0,2220.0,2730.0,36311.0,3258.5499999999993,5700.0,0.6279088981300432,0.3589600947371319,-213.79999999999927,-71.26666666666642,-0.02355209165266716,0.12790889813004325,0.05896009473713193,-0.22355209165266718
20,20,20,3567034,8252.6,60.0,3693.0,1773.0,1600.0,35217.2,1126.6000000000004,7066.0,0.802562384289495,0.12796020126529087,551.6999999999989,183.8999999999996,0.0626625626114511,0.302562384289495,-0.17203979873470912,-0.13733743738854892
21,21,21,3567044,7143.25,204.0,895.0,3413.0,1040.0,22882.0,1591.25,5348.0,0.9348833143955948,0.27816624420942226,-1422.75,-474.25,-0.2487107770299799,0.4348833143955948,-0.021833755790577725,-0.4487107770299799
22,22,22,3567074,35759.5,1970.0,2578.0,15879.75,5850.0,185251.6,9481.75,24307.75,0.5248591645092404,0.2047323747811085,10553.4,3517.800000000001,0.2278717160877423,0.024859164509240417,-0.09526762521889148,0.027871716087742276
23,23,23,3567094,22772.6,536.0,3190.0,12180.0,1324.0,129034.4,5542.5999999999985,16694.0,0.5175054094102038,0.17181774782538606,9486.0,3162.0,0.2940611185854315,0.017505409410203843,-0.12818225217461393,0.09406111858543148
24,24,24,3567154,6377.0,196.0,1888.0,1929.0,845.0,20592.0,1519.0,4662.0,0.9055944055944056,0.29506604506604506,-1229.0,-409.66666666666674,-0.23873348873348876,0.4055944055944056,-0.0049339549339549316,-0.4387334887334888
25,25,25,3567204,16406.337,288.0,888.0,7408.0,2990.0,166905.6,4832.337,11286.0,0.2704762452548027,0.11581006269412172,25320.063,8440.021,0.6068115869090073,-0.22952375474519732,-0.18418993730587827,0.40681158690900726
26,26,26,3567224,4182.0,239.0,203.0,1542.0,905.0,21894.0,1293.0,2650.0,0.4841509089248196,0.23622910386407234,1291.5,430.5,0.2359550561797753,-0.0158490910751804,-0.06377089613592765,0.03595505617977529
27,27,27,3567234,5663.7,105.0,1030.0,3589.0,130.0,36558.8,809.6999999999997,4749.0,0.5196012998238454,0.0885915292624484,3476.0000000000014,1158.666666666667,0.3803188288455858,0.019601299823845397,-0.2114084707375516,0.1803188288455858
28,28,28,3567244,3404.25,0.0,54.0,2217.0,481.0,20590.0,652.25,2752.0,0.5346284604176785,0.12671199611461875,1743.25,581.0833333333334,0.3386595434677028,0.03462846041767853,-0.17328800388538124,0.13865954346770276
29,29,29,3567264,8883.2,194.0,1087.0,2800.0,2340.0,37385.2,2462.2000000000007,6227.0,0.6662529557150959,0.2634411478339023,463.09999999999854,154.3666666666662,0.04954901939805041,0.1662529557150959,-0.036558852166097666,-0.1504509806019496
30,30,30,3567284,7240.05,620.0,322.0,3736.0,845.0,60317.2,1717.0500000000006,4903.0,0.325147719058577,0.11386801774618187,7839.249999999999,2613.083333333333,0.5198682962736997,-0.17485228094142302,-0.1861319822538181,0.31986829627369967
31,31,31,3567304,14729.0,6.0,1662.0,6950.0,3575.0,61377.0,2536.0,12187.0,0.7942388842726102,0.16527363670430292,615.25,205.08333333333331,0.0400964530687391,0.29423888427261025,-0.13472636329569707,-0.1599035469312609
32,32,32,3567334,3600.0,0.0,0.0,2920.0,455.0,15288.0,225.0,3375.0,0.8830455259026687,0.058869701726844574,222.0,74.0,0.05808477237048665,0.3830455259026687,-0.2411302982731554,-0.14191522762951336
33,33,33,3567344,3513.75,275.0,510.0,1345.0,1066.0,17770.0,317.75,2921.0,0.6575126617895329,0.0715250422059651,928.75,309.5833333333333,0.20906021384355652,0.15751266178953294,-0.22847495779403487,0.009060213843556514
34,34,34,3567374,5987.25,300.0,750.0,3010.0,1040.0,42911.4,887.25,4800.0,0.44743354912680544,0.08270529509640795,4740.6,1580.2,0.4418965589563613,-0.05256645087319456,-0.21729470490359204,0.2418965589563613
35,35,35,3567404,2618.0,0.0,90.0,1760.0,708.0,6038.6,60.0,2558.0,1.6944324843506773,0.039744311595402905,-1108.35,-369.45,-0.7341767959460801,1.1944324843506773,-0.26025568840459706,-0.93417679594608
36,36,36,3567414,9532.95,347.0,1804.0,4466.0,1196.0,62516.2,1719.9500000000005,7466.0,0.4777001801133146,0.1100482754869938,6096.0999999999985,2032.0333333333328,0.3900492992216417,-0.02229981988668539,-0.18995172451300618,0.1900492992216417
37,37,37,3567424,18464.75,448.0,2182.0,5393.0,2925.0,97797.0,7516.75,10500.0,0.4294610264118531,0.30744296859821874,5984.5,1994.833333333333,0.24477233452968905,-0.07053897358814692,0.007442968598218747,0.04477233452968904
